"la_name","SEN_Unit","RP_Unit","Total pupils","EHC plan"
"Wandsworth","0","0","264","7"
"Wandsworth","0","0","463","5"
"Wandsworth","0","0","198","5"
"Wandsworth","0","0","375","9"
"Wandsworth","0","0","405","10"
"Wandsworth","0","0","347","10"
"Wandsworth","0","0","325","6"
"Wandsworth","0","0","386","8"
"Wandsworth","0","0","217","4"
"Wandsworth","0","0","635","20"
"Wandsworth","0","1","397","30"
"Wandsworth","0","1","371","21"
"Wandsworth","0","0","384","13"
"Wandsworth","0","1","281","51"
"Wandsworth","0","0","376","12"
"Wandsworth","0","0","223","10"
"Wandsworth","0","0","422","7"
"Wandsworth","1","1","375","30"
"Wandsworth","0","0","420","16"
"Wandsworth","0","0","290","14"
"Wandsworth","0","0","242","8"
"Wandsworth","0","0","422","6"
"Wandsworth","0","0","225","9"
"Wandsworth","0","0","157","5"
"Wandsworth","0","0","205","4"
"Wandsworth","0","0","204","2"
"Wandsworth","0","0","194","3"
"Wandsworth","0","0","175","3"
"Wandsworth","0","0","329","5"
"Wandsworth","0","0","165","4"
"Wandsworth","0","0","222","6"
"Wandsworth","0","0","197","1"
"Wandsworth","0","0","224","6"
"Wandsworth","0","0","129","1"
"Wandsworth","0","0","188","12"
"Wandsworth","0","0","429","9"
"Wandsworth","0","0","413","14"
"Wandsworth","0","0","233","6"
"Wandsworth","0","0","208","4"
"Wandsworth","0","0","1007","23"
"Wandsworth","0","1","714","37"
"Wandsworth","0","0","994","1"
"Wandsworth","0","0","135","1"
"Wandsworth","0","0","411","1"
"Merton","0","0","217","1"
"Wandsworth","0","0","1007","0"
"Wandsworth","0","0","1055","3"
"Lambeth","0","0","53","0"
"Wandsworth","0","0","519","56"
"Wandsworth","0","0","333","4"
"Wandsworth","0","0","323","5"
"Wandsworth","0","0","29","3"
"Wandsworth","0","0","429","1"
"Wandsworth","0","0","109","1"
"Wandsworth","0","0","311","1"
"Wandsworth","0","0","618","0"
"Wandsworth","0","0","181","0"
"Merton","0","0","161","1"
"Wandsworth","0","0","686","6"
"Wandsworth","0","0","240","1"
"Wandsworth","0","0","178","0"
"Wandsworth","0","0","166","0"
"Wandsworth","0","0","76","76"
"Wandsworth","0","0","61","61"
"Wandsworth","0","0","54","53"
"Wandsworth","0","0","217","217"
"Wandsworth","0","0","211","211"
"Westminster","0","0","57","0"
"Westminster","0","0","66","2"
"Westminster","0","0","70","2"
"Westminster","0","0","221","5"
"Westminster","0","1","324","10"
"Westminster","0","0","371","16"
"Westminster","0","0","293","7"
"Westminster","0","0","374","11"
"Westminster","0","0","182","2"
"Westminster","0","0","305","13"
"Westminster","1","0","200","10"
"Westminster","0","0","145","2"
"Westminster","0","0","222","2"
"Westminster","0","0","185","9"
"Westminster","0","0","224","8"
"Westminster","0","0","134","6"
"Westminster","0","0","213","9"
"Westminster","0","0","248","6"
"Westminster","0","0","176","5"
"Westminster","0","0","125","2"
